Characters,Appereances,Appereances (%)
Rick Sanchez,2,100.0
Davin,2,100.0
Morty Smith,2,100.0
Mr. Goldenfold,2,100.0
Jerry Smith,2,100.0
Summer Smith,2,100.0
Beth Smith,2,100.0
Frank Palicky,1,50.0
Centaur,1,50.0
Accountant dog,1,50.0
Fido,1,50.0
Scary Teacher,1,50.0
Snuffles (Snowball),1,50.0
Scary Terry,1,50.0
Scary Glenn,1,50.0
Scary Brandon,1,50.0
Mrs. Pancakes,1,50.0
Melissa,1,50.0
Creepy Little Girl,1,50.0
Bill,1,50.0
Glenn,1,50.0
Pripudlian,1,50.0
Greebybobe,1,50.0
Bepisian,1,50.0
Principal Vagina,1,50.0
Mrs. Sanchez,1,50.0
Jessica's Friend,1,50.0
Jessica,1,50.0
Canklanker Thom,1,50.0
Hookah Alien,1,50.0
Trunkphobic suspenders guy,1,50.0
