Characters,Appereances,Appereances (%)
Rick Sanchez,2,100.0
Beth Smith,2,100.0
Morty Smith,2,100.0
Jerry Smith,2,100.0
Summer Smith,2,100.0
Voltematron,1,50.0
Truth Tortoise,1,50.0
Snuffles (Snowball),1,50.0
Principal Vagina,1,50.0
Nancy,1,50.0
Ruben,1,50.0
Mr. Meeseeks,1,50.0
Jessica,1,50.0
Gordon Lunas,1,50.0
Gobo,1,50.0
Collector,1,50.0
Zick Zack,1,50.0
Beebo,1,50.0
Tom Randolph,1,50.0
Chang,1,50.0
Mr. Poopybutthole,1,50.0
Poncho,1,50.0
Roger,1,50.0
Hepatitis C,1,50.0
Alexander,1,50.0
Annie,1,50.0
Bill,1,50.0
Tuberculosis,1,50.0
Gonorrhea,1,50.0
Hepatitis A,1,50.0
Bubonic Plague,1,50.0
Leonard Smith,1,50.0
E. Coli,1,50.0
Dr. Xenon Bloom,1,50.0
Eric McMan,1,50.0
Ethan,1,50.0
Jacob,1,50.0
Joyce Smith,1,50.0
Dr. Eleanor Arroway,1,50.0
