Month,Monthly Avg Bitcoin Price
2016-01,410.1377419354839
2016-02,403.486448275862
2016-03,414.7551935483871
2016-04,434.5222000000001
2016-05,461.6692258064516
2016-06,643.4821000000001
2016-07,661.4834193548387
2016-08,578.7373645161291
2016-09,604.54786
2016-10,641.1636935483872
2016-11,724.7181499999999
2016-12,824.7761129032258
2017-01,911.2592580645161
2017-02,1064.3821
2017-03,1129.7901935483874
2017-04,1218.3192466666667
2017-05,1884.280512903226
2017-06,2657.5550666666672
2017-07,2533.2594580645155
2017-08,3914.7093774193545
2017-09,4090.707313333333
2017-10,5350.540161290323
2017-11,7771.253153333334
2017-12,15065.2798
